code	date	time	title	speaker	break	room	floor	attention	abstract	profile
18M01	2010-08-28	10:00 - 12:00	The innate beauty of Ramaze	Michael Fellinger and Tadahiko Uehara		Conference Room	2nd Floor		The Ramaze web-framework received a major overhaul in the beginning of 2009, now it wraps around the functionality provided by Innate, which again integrates tightly with Rack. The purpose of this presentation is to give an overview of Ramaze and Innate, and how it can help you ease the pain of web-development without abandoning the ideals that Ruby stands for. We will also show the evolution from a tiny rack app to a larger Ramaze app and how we tried to stay agnostic of particular approaches and practices.	Michael Fellinger is co-founder of The Rubyists LLC. and works as CTO in diverse areas around telephony, system-administation, and web development, always trying to improve the world. He is creator and maintainer of the Ramaze and Innate web application frameworks and several other open-source libraries. For 5 years now he is enjoying the freedom that Ruby provides. When he's not just hacking you might find him spending time with his family or on IRC (#ramaze on freenode). He lives in Japan/Tokyo since 2006.  Tadahiko Uehara is an addicted user and a committer of Ramaze.He has been working as a freelance 3D artist in the field of Film, TV and Video Games for more than 10 years. In recent years, his interest has moved toward Information Technology and had chosen Ruby and Ramaze as his favorite tools.He will be sharing his user point of view for Ramaze. (In Japanese)
18M02	2010-08-28	10:00 - 12:00	Sequel: SQL in Ruby	Jeremy Evans		Conference Room	2nd Floor		If you deal with relational databases at all, you deal with SQL.  Sequel gives you the full power of the SQL language using a pure ruby syntax, increasing your productivity. I will be giving a brief history of ruby relational database libraries, and explain the advantages that Sequel offers over previous approaches.  I will go over Sequel's design and implementation, and show how Sequel makes writing your SQL queries easier.  I will show how Sequel's DSL works in detail, and how Sequel's knowledge of SQL at an object level offers unique advantages.   Finally, I will review some advanced features of Sequel and how they allow scalability in the face of complexity.	Jeremy Evans has been the maintainer of Sequel since March of 2008, and has been programming in ruby since early 2005. He has developed numerous ruby libraries and programs such as ThirdBase (a replacement for the standard ruby Date/DateTime classes), Scaffolding Extensions (multi-web framework, multi JS-library, multi-ORM database administrative front end), and ruby-style (a clustering and availability program). Jeremy has contributed to numerous open source projects, such as DC++, BitTorrent, Rack, Ruby on Rails, and Sinatra. Jeremy is also a developer of Aqualung, an open source audio player written in C. He works in Sacramento, CA, USA for a small government agency.
18M03	2010-08-28	10:00 - 12:00	Sinatra: The Framework Within	Aaron Quint (Quirkey NYC, LLC.)		Conference Room	2nd Floor		Sinatra has been getting a lot of hype lately as the next great (micro)-framework. In writing apps, diving in, and contributing the reasons for its existence have become more clear. Sinatra is not just a toy or a neat trick, it's the best way to create simple and non-obtrusive web interfaces to sit on top of a new or existing ruby codebase. Sinatra is not a framework - Its a library. My conceit is that Sinatra's greatest achievement will be empowering other ruby projects the ability to 'speak web' and communicate to users and developers through the browser. I'll walk through the basics of Sinatra and give a number of examples of how to make quick use of Sinatra to give your project a light but powerful interface.	Aaron Quint is a web developer based in Brooklyn, NY. Working with Ruby and Ruby on Rails he's launched over 25 different web applications in the last 2 years. Recently he's been releasing open source projects at [[http://code.quirkey.com]] including the sinatra skeleton generator, sinatra-gen, and the JavaScript micro-framework Sammy.js.
18S01	2010-08-28	10:00 - 12:00	Ruby in 1/60 seconds - Game Programming Ruby -	kumaryu		Conference Room	1st Floor		(TBA) You might think that Ruby is not suitable for making games because it is too slow. But is it true? I had some troubles in 3D game programming with Ruby. I will show the problems, solutions, and tips for game programming.	(TBA)
18S02	2010-08-28	10:00 - 12:00	Working Effectively with Ruby for Average Programmers	Tatsuhiro UJIHISA (ujihisa)		Conference Room	1st Floor		For software development with the Ruby programming language, this presentation will introduce the study of general productive programming methodology which is primary for ordinary programmers who usually write code simply based on empirical or academical knowledge. This presentation focuses on an environment supports a development particularly. This also shows the advantages powered by Vim by a live coding. Keywords: IDE, Opportunistic Programming, Functional Languages, Grass, Live Coding	From Vancouver and Kansai. A preparatory student of a graduate university in the US.He has a master's degreen in Engineering in Osaka University.He has hosted a great number of workshop for programmers include Vim workshop and LiveCoding.Currently he is learning English.He often use Ruby and Vim.He is interested in improvements of development environments as human interfaces.
18S03	2010-08-28	10:00 - 12:00	A prototype on integrated environment of static code analysis for Ruby	Tomohisa Katsuma (Hitachi Software Engineering Co.,Ltd.)		Conference Room	1st Floor		The number of Ruby systems development projects, especially using Ruby on Rails framework, is now increasing dramatically. But, we can not say that the development environment surrounding Ruby is enough improved, compared with other current mature languages such as Java or C++. In this session we introduce our recent work on Ruby, and our prototype on integrated environment of static code analysis using ORM, Reek, and Roodi, to help programmers to write better quality code and to warn them of potential bugs in their code.	(TBA)
	2010-08-28	12:00 - 13:20	Lunch Break		true					
	2010-08-28	13:20 - 13:30	Community Appeal			Hitotsubashi Memorial Hall	2nd Floor			
18H05	2010-08-28	13:30 - 14:30	Keynote Address	Matz		Hitotsubashi Memorial Hall	2nd Floor		(TBA)	(TBA)
18H06	2010-08-28	14:30 - 15:30	Lightning Talks (2010-08-28)	(See Abstract)		Hitotsubashi Memorial Hall	2nd Floor		Lightning Talks are 11 x 5minutes talk in a 60 minutes time slot: # _tad_ # Han Kessels, Hanamaru K.K. # TAKANO Mitsuhiro (a.k.a. takano32) # Benjamin Smith, Enphase Energy # Yuko Kubo # Arndt Lehmann, TUV Rheinland Japan Ltd. # KURODA Hiraku # Kenneth Kalmer # Yuichi Uemura # Yasuhiro Araki # Kouhei Sutou, ClearCode Inc.  Lighning Talk Timer provided by Kuniaki IGARASHI (Kosen Conference).  Acts as Dora-Musume(Gong Diva): Yuko Nagata (ObjectClub.jp).	(Omitted)
	2010-08-28	15:30 - 16:00	Break		true					
18H07	2010-08-28	16:00 - 18:30	(TBA)	Katsutoshi Kojima (ITOCHU Techno-Solutions Corp.)		Hitotsubashi Memorial Hall	2nd Floor		(TBA)	(TBA)
18H08	2010-08-28	16:00 - 18:30	Ke-tai Site (Web Site for Japanese Cell Phone) Development with Ruby, Rails	Tomoya Narita, Kei Hamanaka (NIFTY Corporation)		Hitotsubashi Memorial Hall	2nd Floor		We show the development methods of Ke-tai Site at NIFTY corp.	Tomoya Narita NIFTY Corportaion portal system engineer. I am taking charge of development of common platform system for mobile service through the web site development direction, CMS system development and the development trial with Ruby/Rails(@nifty TimeLine) charge now.  Kei Hamanaka NIFTY Corportaion portal system engineer. I am taking charge of development of common platform (CMS, Search, and access analysis, etc.) system for PC/mobile service through the service planning and the design direction charge now.
18H09	2010-08-28	16:00 - 18:30	(TBA)	Kazuya Yoshimi (RAWHIDE.)		Hitotsubashi Memorial Hall	2nd Floor		(TBA)	(TBA)
18H10	2010-08-28	16:00 - 18:30	(TBA)	Hirotomo Oi (Recruit)		Hitotsubashi Memorial Hall	2nd Floor		(TBA)	(TBA)
18H11	2010-08-28	16:00 - 18:30	Between C and Ruby	Kouhei Sutou (ClearCode Inc.)		Hitotsubashi Memorial Hall	2nd Floor		The presentation introduces how to use its advantage and cover its weakness of C and Ruby with examples, milter manager and ActiveGroonga.	The president of ClearCode Inc. A developer of RSS Parser, Rabbit, rcairo, Ruby-GNOME2, ActiveLdap, ActiveSambaLdap, Test::Unit 2.x, Ruby/Subversion, Ruby/groonga, ActiveGroonga, RWiki and so on.
18H12	2010-08-28	16:00 - 18:30	Let’s start open source development! -It will lead you to promising results-	Akihiro Matsumura(TIS Inc./SonicGarden), Yuuichi Kuroda(Mitsubishi UFJ Information Technology, Ltd.)		Hitotsubashi Memorial Hall	2nd Floor		SKIP has been accessible to the public for about a year now. The progress on the “SKIP open source development project,” led by the SKIP user group, will be shared in this session. The session will shed exclusive light on how SKIP, an open source internal corporate SNS, has been welcomed, utilized and improved since public accessibility. Additionally, “SKIP-Wiki,” a new open source initiative developed in collaboration with several companies, will be discussed to the depth of how it has been managed and where it is headed.	(TBA)
18H13	2010-08-28	16:00 - 18:30	Large-scale Web Services and Infrastructure Systems for Rakuten	Yukio Goto, Manabu Oshiro, Muga Nishizawa (Rakuten)		Hitotsubashi Memorial Hall	2nd Floor		(TBA)	(TBA)
18M04	2010-08-28	16:00 - 18:30	Ruby C10K challenge: High Performance Networking	Ilya Grigorik		Conference Room	2nd Floor		Ruby is often described as a DSL for web services and the popularity of frameworks such as Rails and Merb is a clear sign of success of the language. However, there is also the ongoing concern of scalability and performance of Ruby based web applications. In this talk we will investigate the challenges and dispel the myths around the Ruby networking stack: working with Ruby sockets, synchronous & async polling techniques, reactor loop pattern (EventMachine), and working with epoll, kqueue, and others.	Ilya Grigorik is the founder and chief Ruby wrangler at PostRank - a real-time social engagement monitoring and analytics platform. He likes to play in the clouds, explore the dark corners of Ruby, and is often found researching and evangelizing the latest web practices, software architecture, and web standards in general.
18M05	2010-08-28	16:00 - 18:30	NeverBlock and I/O Concurrency in Ruby	Mohammad A. Ali and Ehab El-Badry (eSpace)		Conference Room	2nd Floor		Several web application back ends offer a lot of scalability but tax you with high latencies. This can be observed in most cloud based back ends, specially when the application is deployed off the cloud's network. In this presentation we introduce NeverBlock, a library that utilizes light weight concurrency primitives (Fibers) to enable concurrent I/O operations in a seamless manner. We examine the performance and the resource utilization characteristics of various types of application before and after they use NeverBlock.	Mohammad is a co-founder and CTO of eSpace, an Egyptian software firm that offers its services mainly in Ruby. He has been working on Ruby since 2005 and managed to move all his colleagues and coworkers to the new platform. Mohammad researches software concurrency models in the academia and hence is interested in the application of those models in Ruby.
18M06	2010-08-28	16:00 - 18:30	JRuby Update 2009	Thomas Enebo, Nick Sieger (Sun Microsystems)		Conference Room	2nd Floor		JRuby, the implementation of Ruby atop the JVM, has become a dependable alternative for deploying production Ruby applications. We'll give an update on the state of JRuby, the latest developments in the community, and highlight some new and interesting ways that people are using JRuby in the world today.	Thomas Enebo has been working with Java since 1997 and co-leading the JRuby project since 2003. Enebo is working to make JRuby a piece of software that will capture the hearts and minds of Ruby and Java developers everywhere. His goal is to make JRuby the best possible JVM implementation of the Ruby language and to make the JVM the best possible host for all languages. Nick Sieger is the lead engineer behind Project Kenai, [[http://kenai.com/]] , Sun's cloud collaboration service for developers deployed with JRuby on Rails. He created and co-maintains the JDBC adapter for ActiveRecord that JRuby on Rails uses for database connectivity and several other projects to improve the JRuby on Rails experience. He maintains a blog on Ruby and JRuby-related topics at [[http://blog.nicksieger.com/.]]
18S04	2010-08-28	16:00 - 18:30	Distributed Parallel Computing Framework fairy and Distributed Object System DeepConnect	Keiju Ishitsuka, Hajime Masuda		Conference Room	1st Floor		(TBA)	(TBA)
18S05	2010-08-28	16:00 - 18:30	Great BigTable and my toys	Masatoshi SEKI		Conference Room	1st Floor		Rinda is a Ruby implementation of Linda. The keywords that describe Rinda -- tuples, tuple space, distributed processing, Key-Value Storage -- reminds many people of MapReduce. I'm one of those people too. Therein, however, lies a trap. In this talk I will explore what I learnt from my experiences running a little application, with Rinda as a starting point, in this talk I will explore my experiences running an little application based on a MapReduce-oriented data structure.	Programmer. Author of dRuby, ERB. My recent work is dRuby and Rinda: Implementation and Application of Distributed Ruby and its Parallel Coordination Mechanism. Kire-to lemon-horic.
18S06	2010-08-28	16:00 - 18:30	concov: continuous test coverage viewer	Yusuke Endoh (Theoretical Science Group)		Conference Room	1st Floor		Test coverage describes the degree to which the source code of a program has been tested.  While test coverage is increased temporarily by writing tests, coverage tends to drop gradually if the tests are not enough maintained continuously.  However, it is annoying to manually find code no longer tested.  We present ``concov'', continuous test coverage viewer, which allows us to comprehend continuous changes of coverage by using continuous integration.  Concov helps us find coverage-degraded points and raises developpers' awareness of the software testing.	One of Ruby committer who claims to be a `test maintainer' of Ruby core
18S07	2010-08-28	16:00 - 18:30	My ECO Life by Ruby GC improve: No plastic bag thank you	nari (Network Applied Communication Laboratory)		Conference Room	1st Floor		The presentation introduces the technique and a result about GC improvement of CRuby. In addition, I introduce the GC algorithm of current CRuby.	One of ruby commiter and work at GC. living in Matsue, Shimane, Japan. I work for the NaCl.
	2010-08-28	18:30 - 20:30	Beer bust	(Bring your own food/drink)		Conference Room	2nd Floor			
	2010-08-29	09:10 - 09:30	Open & Admission		true					
19H01	2010-08-29	09:30 - 12:00	Edo Cabinet	John Mettraux		Hitotsubashi Memorial Hall	2nd Floor		Tokyo Cabinet and Tyrant via [J]Ruby FFI	yet another guy who tries to write less code
19H02	2010-08-29	09:30 - 12:00	Checking Interactively-Developed Code	Andriy Hnativ		Hitotsubashi Memorial Hall	2nd Floor		The purpose of the Ruby interpreter, irb, is to develop and test code fragments that will eventually form a complete program.  Programming with irb is an interactive process, expected to provide immediate feedback from the Ruby interpreter, typically warnings and error messages that show inconsistencies or programming mistakes, when code is executed. However, a program fragment can be executed only when all dependent fragments are also written.  This may introduce a potentially substantial delay between programming and validation, filled with distractions from writing the needed dependent code.  As a result, error messages are emitted later than necessary, and may appear in other blocks of code than where the error originates.  Essentially, irb lacks a type checker:a system to infer types and check their consistency before code is executed. This is not surprising, given the obstacles that irb’s interactive code development raises for type checking.  As one develops a program, code fragments are written and re-written; each are difficult to validate in isolation, and complex to merge and re-check collectively.  We have implemented a system that reports type errors for incomplete irb programs, by verifying code blocks as they are developed, and checking that they mesh correctly with other code blocks as the developer changes and replaces them.  By using principal typings inference, our tool adds lightweight type checking to the Ruby language without changing the syntax.  As a result, coders will be able to reduce development time by more precisely locating errors at a better time in the development process.	Andriy Hnativ is a M.Sc. student studying programming languages at the University of Saskatchewan under the direction of Prof. Chris Dutchyn.  Among other things, he is interested in functional programming languages, open-source development, and dynamic languages, especially Ruby and Python.
19H03	2010-08-29	09:30 - 12:00	To the Edge of Web Performance and Beyond	Joshua Hull (AideRSS)		Hitotsubashi Memorial Hall	2nd Floor		File caching, Memcache, Squid, Varnish and ESI have become common tools in arsenal of those pushing their application to millions of users a day. However, these strategies have not been without their drawbacks. Cache invalidation, and immature implementations within Ruby have hampered the support of these in the real world. Examining the current crop of tools and their limitations can shed light on both the problems and the solutions.  Whether you're serving a relatively small website or are managing a whole farm of servers, quick responses can make the difference between joy and user frustration.  This talk will discuss: "Current caching strategies and their strengths and weaknesses",  "Invalidation performance and the "dog-pile" effect" and "Real live working code - Plenty of benchmarks".  We will take a sample application through these various caching strategies, paying attention to ease of implementation and performance along the way. By employing EventMachine, Tokyo Cabinet, Tokyo Dystopia, Rack and some sweet syntactic sugar, we will find the easy, golden path for web performance.	Joshua is a Ruby developer at PostRank, a social engagement monitoring and analytics platform. Lately, he has been focusing on the performance of both Ruby and Rails and looking at how to improve the whole web stack. You can find what his brain is thinking about next at github (github.com/joshbuddy) and twitter (@joshbuddy).
19M01	2010-08-29	09:30 - 12:00	Ruby - The Script Language	Akio Tajima(Nihon Ruby-no-kai)		Conference Room	2nd Floor		Rethink the origin of the language. Ruby was once for people who'd like to control a computer with little thinking, tiny codes and small effort. And now, does a newcomer knows it ?	Programmer and a night-time writer of programming related books and articles. arton distributes some libraries cf. Rjb, icmpping, lhalib etc and MSWin32 package known as ASR.
19M02	2010-08-29	09:30 - 12:00	socket library improvement	Tanaka Akira (National Institute of Advanced Industrial Science and Technology (AIST))		Conference Room	2nd Floor		This talk is about improvement of socket library bundled with Ruby.  The current socket library is easy for frequent tasks but it is uselessly difficult for rare tasks.  For example, there is a case that we change a class, so that we need to investigate the effect throughout the program.  Another example is that binary string is used for socket option, etc. which causes program more difficult than C.  This presentation talks a desigh that easy tasks are easy as now and special tasks are easy enough.  The imeplementation is already done and will be released in Ruby 1.9.2.	A Ruby committer.  Main interest is difficult things.
19M03	2010-08-29	09:30 - 12:00	(TBA)	gotoken		Conference Room	2nd Floor		(TBA)	(TBA)
19M04	2010-08-29	09:30 - 12:00	RubyGems traps	Kazuhiro NISHIYAMA		Conference Room	2nd Floor		(TBA)	(TBA)
	2010-08-29	09:30 - 12:00	 			Conference Room	1st Floor	(this room will start at 10:00)		
19S01	2010-08-29	09:30 - 12:00	Project Report:Regional RubyKaigi	KAKUTANI Shintaro(Nihon Ruby-no-kai)		Conference Room	1st Floor		This talk is progress report about Regional RubyKaigi project. We have 8 Regional RubyKaigis in the past year or so.	Kakutani Shintaro is a just another strong Ruby proponent,an executive member of Nihon Ruby-no-kai,founder of Regional RubyKaigi project,and a trainee of Rubyist Magazine publishing director trainee.
19S02	2010-08-29	09:30 - 12:00	RubyConf.China2009 and Ruby/Rails community activities in China	Koz Masumitsu (Wuxi Tengu Software Development)		Conference Room	1st Floor		The presentation reports several activities of Shanghaionrails, which is the most active Ruby and Rails community in China, and RubyConf.China2009, which was held May 2009 in Shanghai.	Koz Masumitsu is a founder and CEO of Tengu Software Development located at Wuxi, China. Member of Shanghaionrails, Shanghai Offshore Development Forum and Wuxi Japanese Society.
19S03	2010-08-29	09:30 - 12:00	Hello World From The Other Side Of Earth	Daniel Bovensiepen		Conference Room	1st Floor		A trip through the german speaking ruby landscape. And a presentation about how we try to deal with the language gap between german and japanese.	Daniel Bovensiepen is developing software since 8 years for a company called Siemens AG. At the moment he is working for the R&D center of the mass transit department. He discovered Ruby around the turn of the millennium for the first time and felt a little bit in love with the language and the culture itself.
	2010-08-29	12:00 - 13:30	Lunch Break		true					
19H04	2010-08-29	13:30 - 15:30	How Lazy Americans Monitor Servers	James Edward Gray II (Highgroove Studios)		Hitotsubashi Memorial Hall	2nd Floor		At my job we have to monitor a lot of servers.  That's too much like work for us lazy Americans though, so we wrote an intelligent agent to do all the hard stuff for us.  In this presentation, I'll take you deep inside the Scout server monitoring agent and show the techniques we used to build a daemon that runs constantly, executes arbitrary Ruby code we didn't write, and yet remains robust without crashing, leaking memory, or filling up your hard drive with data.  I'll show how to accomplish these goals with just some careful design and our friend Ruby.  Then you too can get paid for slacking off, just like me!	James has been a permanent fixture in the Ruby community for around five years now.  He created the Ruby Quiz and ran it for the first three years, developed FasterCSV and HighLine, and wrote some documentation for standard libraries.  James now works on Rails applications all day, including Scout from Highgroove Studios.
19H05	2010-08-29	13:30 - 15:30	Journey through a pointy forest: XML parsing in Ruby.	Aaron Patterson		Hitotsubashi Memorial Hall	2nd Floor		Like it or not, angle brackets are here to stay.  At some point you will find yourself wading through a mess of them, trying to find a way out.  I will talk about how to deal with this prickly tree in Ruby without getting hurt. I will look at different XML and HTML parsing options available for Ruby, the pros and cons for each.  I'll also look at where XML parsing technology has come from, and the future of XML coexisting with Ruby. Finally, I will take an in-depth look at dealing with XML and HTML with Nokogiri and some of the advanced features of the library.	Aaron is a Senior Software Engineer for AT&T Interactive.  Aaron lives in Seattle and is an active member of Seattle.rb.  In his free time, he helps maintain Ruby packages including Nokogiri and Mechanize.  His hobbies include programming Ruby, playing piano, singing karaoke, and learning Japanese.  You may know him by one of his many pseudonyms including ひげの山男、ボディビル仮面、or カラオケ　チャンピオン.
19M05	2010-08-29	13:30 - 15:30	Ruby, on your Mac of course	Vincent Isambart		Conference Room	2nd Floor		This presentation will introduce the current status and near future of the MacRuby project. MacRuby is an implementation of Ruby written using Mac OS X core technologies.	Vincent is a long time Rubyist and he recently joined the MacRuby team as a frequent core contributor, working on the upcoming MacRuby 0.5 implementation.
