code	date	time	title	speaker	break	room	floor	attention	abstract	profile
17S03	2010-08-27	14:40 - 16:10	Rubyで楽しむBDD,ZDD	倉井 龍太郎 (株式会社はてな)		特別会議室	1F		BDD(Binary Decision Diagram)やその拡張されたデータ構造である、ZDD (Zero-Suppressed BDD)をRubyから扱うライブラリについての紹介をします。BDD、ZDDはそれぞれ、ブール関数と組み合わせ集合の表現に向いたデータ構造で、LSI設計やデータマイニングの世界で利用されています。今回はこれらを使うことでn-Queen問題のような制約充足問題を簡易に記述したり、組み合わせ集合の処理を簡潔に記述できる事例をお見せします。	株式会社はてなでアプリケーションエンジニアをしています。京都在住。
	2010-08-27	16:10 - 16:40	休憩		true					
17H04	2010-08-27	16:40 - 17:40	From Rails to Rack: Making Rails 3 a Better Ruby Citizen	Yehuda Katz (Engine Yard)		一橋記念講堂	2F		Rails 3 is on its way, and Yehuda Katz is giving attendees a sneak peek! With the advent of the Rack spec and library, Ruby web frameworks can interact in unprecedented ways. Imagine a Rails application routing to a Sinatra application, or Merb-style exception pages that catch exceptions from Rails or Cloudkit. These are focal points of Rails 3 and Yehuda's talk.  The idea is simple: create a tiny API for interaction between elements of a web application. Instead of requiring special mechanisms for tests, controller instantiation, or CSRF forgery protection, design apps as a collection of such elements strung together into a stack. As with Unix pipes, limiting the interaction between elements makes powerful combinations a snap.  In addition to Rack, Rails 3 will have better support for other Ruby packages, leveraging the work Merb did to support app-specific bundles. It will limit the changes it needs to make to the global namespaces, making it easier to use Rails together with other Ruby code without fearing that the changes that Rails will conflict with the other code. Finally, components of Rails 3 will be available, in an unprecedented way, as libraries that can be used outside of the web framework context to perform different kinds of work. For instance,  ActiveSupport will finally be modular enough to use easily in a third-party library, and ActionController and ActionView will be decoupled enough from the request/response context to be usable for other templating purposes.  Join Yehuda and talk about how the powerful ideas of Rack and modularity are informing Rails 3, and how they will change the way you develop.	Yehuda Katz is currently employed by Engine Yard, and works full time as a Core Team Member on the Rails and Merb projects. He is the co-author of jQuery in Action and the upcoming Rails 3 in Action, and is a contributor to Ruby in Practice. He spends most of his time hacking on Rails and Merb, but also on other Ruby community projects, like Rubinius and Datamapper. And when the solution doesn't yet exist, he'll try his hand at creating one - as such, he's also created projects like Thor and DO.rb.
17S04	2010-08-27	16:40 - 17:40	静的型付けを持ったRubyっぽい言語の設計と実装	橋本和典(熊本大学)、木山真人(熊本大学)		特別会議室	1F		動的型付けを持つRubyでは、プログラム中に型情報を記述する必要がない。そのため、プログラミングが容易といった利点がある。しかし、動的型付けでは、プログラムの実行時に型検査を行うため、プログラムの信頼性、実行速度が低下する。この原因のため、Rubyは大規模なアプリケーション開発には適さない。動的型付けに対する特性として、静的型付けがある。静的型付けでは、プログラムの実行前に型検査を行う。このため、プログラムの信頼性が高い。また、型情報を基した高速な処理が可能になる。そこで、静的型付けを用いてRubyにあった問題の解決を図る。本研究では、静的型付けを持つRubyっぽい言語の設計と実装についてのべる。また、本研究では、Rubyにあった利点を保つため型推論を用いる。	(TBA)
17S05	2010-08-27	16:40 - 17:40	Ruby VMの高速化の展望	笹田 耕一(日本Rubyの会 / 東京大学)		特別会議室	1F		現在，趣味と研究（本職）を兼ねてRubyの仮想マシン（VM）のさらなる高速化をしています．本発表では，これからどんなふうに高速化をしていくのか，その展望を話します．	2006年東京農工大学博士課程退学．2007年博士（情報理工学）．2008年より，東京大学大学院情報理工学系研究科講師．言語処理系やOSなど，システムソフトウェアに興味を持つ．情報処理学会，ACM，各会員．日本Rubyの会理事．
	2010-08-27	17:40 - 17:50	休憩		true					
17H05	2010-08-27	17:50 - 18:50	Lightning Talks (2010-08-27)	(後述)		一橋記念講堂	2F		1人持ち時間5分のライトニングトークです:  # パターン、Wiki、XP、そしてRuby (江渡 浩一郎, 独立行政法人 産業技術総合研究所) # Ruby/Tkは本当にダメな子なのか？ (永井 秀利, 九州工業大学/Rubyist九州) # たぶん一番かんたんなRails on GAE/J (あんどうやすし, シーサー株式会社) # IronRuby on Rails (荒井 省三) # むいちゃいました（仮） (gaooh, 株式会社ドリコム) # Wakameで手早くRailsを大規模サイトにする (山崎泰宏, 株式会社あくしゅ) # JCLのご紹介 (相澤歩, アクセンチュア・テクノロジー・ソリューションズ（株）) # Arabesque, a brand new Ruby queue (Mohammad A. Ali, eSpace) # MiyazakiResistanceを作ってみたよ (おおいしつかさ, 食べログ(カカクコム)) # ローカル環境向けKey-Valueストアの紹介（仮） (こしば としあき) # WebスタートアップにやさしいRailsの育て方 (松本一輝, ランゲート株式会社)  LTタイマー提供, 招待トーク:五十嵐邦明 (高専カンファレンス)  ドラ娘: ナガタユウコ(オブジェクト倶楽部)	(省略)
	2010-08-27	19:30 - 	懇親会(事前にチケットの購入が必要です)		true					
	2010-08-28	09:30 - 10:00	開場・受付		true					
18H01	2010-08-28	10:00 - 12:00	Ruby 1.8 のゆくえ	卜部 昌平 ((株) トランス・ニュー・テクノロジー)		一橋記念講堂	2F		Ruby 1.8:  you may think you know, but do you really?  During this period its history and recent updates, plus a view for its future is illustrated to provide you a deeper look at what Ruby is, and where it goes.	An active ruby committer who has been maintaining its stable branches e.g. 1.8.5, 1.8.6, and currently 1.8.7.
18H02	2010-08-28	10:00 - 12:00	Ruby 1.9.2ロードマップ	Yugui - 園田 裕貴 (スケールアウト株式会社 / Akasaka.rb)		一橋記念講堂	2F		Ruby 1.9系統の受け入れが徐々に始まっています。その中で、Ruby 1.9は基本的には実用に耐え得る製品であること、しかしながら一部の機能にはまだ課題が残されていることが明らかになってきました。Ruby開発チームでは利用者からのフィードバックを元に次期リリース1.9.2をリリースする予定です。1.9.1リリース後のRuby開発の現況や、1.9.2へ向けたスケジュールをお知らせします。開発メーリングリストを日英とも良く読んでいる人には新しい情報は大してありませんから、他のセッションを聞きに行くと良いでしょう。	2008年6月よりRuby 1.9系統リリース管理とメンテナンスを担当。『初めてのRuby』著者
18H03	2010-08-28	10:00 - 12:00	Ruby リファレンスマニュアル刷新計画 2009 夏	okkez (Ruby Reference Manual Renewal Project)		一橋記念講堂	2F		Ruby リファレンスマニュアル刷新計画のこれまでをふりかえりつつ今後の展望を語ります。これまでは青木さん視点で語られることが多かった本プロジェクトですが、私がこのプロジェクトに参加した理由や今後やるべきことやどんな助けが必要なのかを具体的に説明したいと思います。	大阪の方から来ました。Ruby勉強会@関西ではほぼ毎回初級者向けレッスンをやっています。
18H04	2010-08-28	10:00 - 12:00	Rubyist Magazine が出来るまで	ささだこういち(るびま編集)		一橋記念講堂	2F		今年の9月で5周年を迎えるRubyist Magazine（るびま）ですが，毎回どんなふうに刊行しているのか，現状はどんな感じか喋ります．多分，生で発表するのは初めて．	るびま創刊から関わっている編集者．最近はあまり関わっていない．
18M01	2010-08-28	10:00 - 12:00	The innate beauty of Ramaze	Michael Fellinger and Tadahiko Uehara		中会議場	2F		The Ramaze web-framework received a major overhaul in the beginning of 2009, now it wraps around the functionality provided by Innate, which again integrates tightly with Rack. The purpose of this presentation is to give an overview of Ramaze and Innate, and how it can help you ease the pain of web-development without abandoning the ideals that Ruby stands for. We will also show the evolution from a tiny rack app to a larger Ramaze app and how we tried to stay agnostic of particular approaches and practices.	Michael Fellinger is co-founder of The Rubyists LLC. and works as CTO in diverse areas around telephony, system-administation, and web development, always trying to improve the world. He is creator and maintainer of the Ramaze and Innate web application frameworks and several other open-source libraries. For 5 years now he is enjoying the freedom that Ruby provides. When he's not just hacking you might find him spending time with his family or on IRC (#ramaze on freenode). He lives in Japan/Tokyo since 2006.  Tadahiko Uehara is an addicted user and a committer of Ramaze.He has been working as a freelance 3D artist in the field of Film, TV and Video Games for more than 10 years. In recent years, his interest has moved toward Information Technology and had chosen Ruby and Ramaze as his favorite tools.He will be sharing his user point of view for Ramaze. (In Japanese)
18M02	2010-08-28	10:00 - 12:00	Sequel: SQL in Ruby	Jeremy Evans		中会議場	2F		If you deal with relational databases at all, you deal with SQL.  Sequel gives you the full power of the SQL language using a pure ruby syntax, increasing your productivity. I will be giving a brief history of ruby relational database libraries, and explain the advantages that Sequel offers over previous approaches.  I will go over Sequel's design and implementation, and show how Sequel makes writing your SQL queries easier.  I will show how Sequel's DSL works in detail, and how Sequel's knowledge of SQL at an object level offers unique advantages.   Finally, I will review some advanced features of Sequel and how they allow scalability in the face of complexity.	Jeremy Evans has been the maintainer of Sequel since March of 2008, and has been programming in ruby since early 2005. He has developed numerous ruby libraries and programs such as ThirdBase (a replacement for the standard ruby Date/DateTime classes), Scaffolding Extensions (multi-web framework, multi JS-library, multi-ORM database administrative front end), and ruby-style (a clustering and availability program). Jeremy has contributed to numerous open source projects, such as DC++, BitTorrent, Rack, Ruby on Rails, and Sinatra. Jeremy is also a developer of Aqualung, an open source audio player written in C. He works in Sacramento, CA, USA for a small government agency.
18M03	2010-08-28	10:00 - 12:00	Sinatra: The Framework Within	Aaron Quint (Quirkey NYC, LLC.)		中会議場	2F		Sinatra has been getting a lot of hype lately as the next great (micro)-framework. In writing apps, diving in, and contributing the reasons for its existence have become more clear. Sinatra is not just a toy or a neat trick, it's the best way to create simple and non-obtrusive web interfaces to sit on top of a new or existing ruby codebase. Sinatra is not a framework - Its a library. My conceit is that Sinatra's greatest achievement will be empowering other ruby projects the ability to 'speak web' and communicate to users and developers through the browser. I'll walk through the basics of Sinatra and give a number of examples of how to make quick use of Sinatra to give your project a light but powerful interface.	Aaron Quint is a web developer based in Brooklyn, NY. Working with Ruby and Ruby on Rails he's launched over 25 different web applications in the last 2 years. Recently he's been releasing open source projects at [[http://code.quirkey.com]] including the sinatra skeleton generator, sinatra-gen, and the JavaScript micro-framework Sammy.js.
18S01	2010-08-28	10:00 - 12:00	1/60秒でRuby -Rubyでゲームを作ったら-	kumaryu		特別会議室	1F		(TBA) Rubyで3Dゲームを作ったら結構大変だった。 Rubyでゲーム作りが注目されていたりいなかったりしますが、 やはりRubyはゲーム用途には遅いのでは無いかと敬遠される場面もあるでしょう。 だが本当に遅いのか？ 漠然と無理だと思われている節がある3DゲームをRubyで作ってみた経験から、 気を付けるべき所と解決方法などを紹介していきます。	ただのRuby好き。ストリーミング配信の辺境に出没。
18S02	2010-08-28	10:00 - 12:00	Rubyにおける生産性を高めるための開発環境を考察する	ujihisa 氏久 達博		特別会議室	1F		プログラミング言語Rubyを用いたソフトウェア開発において、経験的・学術的知見を統合し、主に軽量なプログラミングスタイルを用いる普通のプログラマのための、生産性を向上する一般的な方法について考察する。とりわけ開発作業を支援する環境に主に焦点を当てる。また、適切な開発環境を採用することによる生産性の向上の効果を、実演などを用いて示す。キーワード: 統合開発環境、日和見的プログラミング、関数型言語、芝生、実演	バンクーバーと関西在住の、アメリカの大学院受験生。2009年大阪大学大学院基礎工学研究科にて修士号を修める。Vimの勉強会、LiveCodingなどのプログラマ向けのイベントを多数主催する。現在は英語を勉強中。RubyとVimをよく使う。インタフェースとしての開発環境の向上に興味がある。
18S03	2010-08-28	10:00 - 12:00	静的コード解析統合環境の試作	勝間 友久(日立ソフトウェアエンジニアリング株式会社)		特別会議室	1F		Ruby言語を利用したシステム開発は徐々に増加していますが、Javaなどの成熟した言語と比べると、それをとりまく開発環境は十分であるとはいえません。本セッションでは、Rubyコードの品質維持と潜在的なバグを検知するために、オープンソースの静的コード解析ツール ORM, Reek, Roodi を利用した静的コード解析統合環境についてご紹介するとともに、弊社でのRuby言語に対する取り組みに関してご紹介します。	2000年 日立ソフトウェアエンジニアリング株式会社入社。入社以降、主にJava, .NET の大規模アプリケーションのアーキテクチャ設計に従事する。Ruby/Rails 関しては、動的スクリプト言語の特性を生かした開発手法を確立し、差別化したソリューションを提供できればと考えている。具体的には、変更の容易性、生産性を生かしたデリバリの迅速化、そして、初期投資額を抑えたスモールスタート・スケールアウトといった利点を生かした開発手法を確立し、顧客のニーズを満たす選択肢の１つとして考えていきたい。
	2010-08-28	12:00 - 13:20	昼休み		true					
	2010-08-28	13:20 - 13:30	コミュニティアピール			一橋記念講堂	2F			
18H05	2010-08-28	13:30 - 14:30	基調講演	まつもとゆきひろ		一橋記念講堂	2F		(TBA)	(TBA)
18H06	2010-08-28	14:30 - 15:30	Lightning Talks (2010-08-28)	(後述)		一橋記念講堂	2F		1人持ち時間5分のライトニングトークです: # 次世代数値演算ライブラリDecimalという再発明の意義 (斎藤ただし, 筑波大学情報学類科目等履修生) # Morumotto, a jruby-based OpenID service using visual authentication (Han Kessels, Hanamaru K.K.) # Ruby on Arduino (高野光弘, 日本UNIXユーザ会) # Monitoring the sun with Ruby (Benjamin Smith, Enphase Energy) # RomanticRuby!(Rubyでギャルゲー) (久保優子, 株式会社万葉) # rubyrep - database replication that doesn't hurt (developed in ruby) (Arndt Lehmann, TUV Rheinland Japan Ltd.) # BABY - 初心者のためのグラフィックライブラリ (黒田 拓, 北海道大学 大学院理学院) # Facing your daemons (Kenneth Kalmer) # Rubyでの(力技)でのネットワーク運用 (植村優一(u-ichi), NTTcommunications) # rubyによるお手軽CDN作成のすすめ (荒木靖宏, Debian Project) # ActiveLdap (須藤功平, 株式会社クリアコード)  LTタイマー提供, 招待トーク: 五十嵐邦明 (高専カンファレンス)  ドラ娘: ナガタユウコ(オブジェクト倶楽部)	(省略)
	2010-08-28	15:30 - 16:00	休憩		true					
18H07	2010-08-28	16:00 - 18:30	ビジネスユースでのRuby導入のポイントと解決策	小島 克俊(伊藤忠テクノソリューションズ株式会社)		一橋記念講堂	2F		伊藤忠テクノソリューションズ株式会社（CTC）では、Rubyに関する教育サービスや認定試験、サポートサービスを提供しています。本セッションでは、そういったCTCの経験を踏まえ、ビジネスユースでのRubyへのニーズとその解決策を事例をまじえながら紹介します。会社でRubyへの取り組みたいけれど漠然とした不安がある、プロジェクトにRubyを導入するために何をやっていいのか分からない、そうした疑問を払拭するためのセッションです。	(TBA)
18H08	2010-08-28	16:00 - 18:30	Ruby,Railsによる「ケータイ」ポータルの作り方！	成田 智也、浜中 慶(ニフティ株式会社)		一橋記念講堂	2F		ニフティにおけるRuby,Railsによる「ケータイ」ポータルの作り方です。モバイルサイトに必要な周辺技術・機能について、それらをRuby,Railsでの実現しています。	成田智也 ニフティ株式会社 ポータルサービス系エンジニア。サイト開発ディレクション、社内CMSシステム運用、Railsによるサイト開発検証(@niftyTimeLine)を経て、現在はモバイルサービスのための社内基盤（Ruby/Rails製含む）のシステム企画・開発に従事している。  浜中慶  ニフティ株式会社 ポータルサービス系エンジニア。サービス企画・デザインディレクション担当を経て、現在はPC/モバイルサービス向け共通基盤(CMS, 検索, アクセス集計など)システムの企画・開発に従事。
18H09	2010-08-28	16:00 - 18:30	実戦投入Rails - RubyKaigiEdition	吉見 和也(株式会社RAWHIDE.)		一橋記念講堂	2F		WEB+DB PRESS Vol.51 特集１「実戦投入Rails」の執筆者による、誌面では語れなかった、もう一歩踏み込んだ実戦投入Rails。記事の背景や追加解説など	株式会社RAWHIDE.（ローハイド.）CTO
18H10	2010-08-28	16:00 - 18:30	Railsサイト安定運用の心構え ~8つのサービスから学ぶ	大井 宏友(株式会社リクルート　メディアテクノロジーラボ)		一橋記念講堂	2F		リクルート メディアテクノロジーラボでは８つのサービスをRailsで開発、Xenで仮想化された環境の上で運用しています。その経験から得られたノウハウ、ハマりどころ、チューニングについて紹介します。	(TBA)
18H11	2010-08-28	16:00 - 18:30	CとRubyとその間	須藤 功平(株式会社クリアコード)		一橋記念講堂	2F		CとRubyを組み合わせることによりお互いの長所を活かしつつ欠点を補う使い方ができることをmilter managerとActiveGroongaを例にして紹介します。	株式会社クリアコード代表取締役。RSS ParserとRabbitとrcairoとRuby-GNOME2とActiveLdapとActiveSambaLdapとTest::Unit 2.xとRuby/SubversionとRuby/groongaとActiveGroongaとRWikiなどの開発者。
18H12	2010-08-28	16:00 - 18:30	オープンソース開発を始めよう～扉を開けば奇跡が起きる～	松村 章弘(TIS株式会社/SonicGarden)、黒田　雄一(三菱UFJインフォメーションテクノロジー株式会社)		一橋記念講堂	2F		SKIPユーザグループのオープンソースへの取り組みを発表します。社内SNS"SKIP"のオープンソース公開後の1年についてや複数企業が共同で新規開発している"SKIP-Wiki"の開発について紹介します。	(TBA)
18H13	2010-08-28	16:00 - 18:30	Ruby による楽天の大規模サービスと基盤技術 (デモあり)	後藤 幸生 (楽天株式会社)、大城 学 (楽天株式会社)、西澤 無我 (楽天株式会社)		一橋記念講堂	2F		弊社では、Ruby を多くの箇所で活用しており、本発表ではその中でも 2 つの事例を 説明します。1 つは、Ruby on Rails を利用した、大規模な Web アプリケーション開発 です。Rails を導入し、どのように Web アプリケーションを設計し、いかに開発スピードを 向上させているかについて報告します。もう 1 つは、複数のマシンを利用した基盤 システム開発です。弊社では現在、分散 Key-Value Store の一実装である ROMA と、 分散並列処理フレームワーク fairy の開発・導入を行っており、本発表では ROMA の 概要と特徴、その利用方法などを説明します。	後藤幸生 楽天株式会社 エンジニア。主に、Ruby on Railsを用いたサービスを担当しています。  大城学 楽天株式会社 エンジニア。Ruby含むサービスの開発担当。  西澤無我 楽天株式会社 楽天技術研究所 シニアサイエンティスト。分散システムの研究開発に従事。
18M04	2010-08-28	16:00 - 18:30	Ruby C10K challenge: High Performance Networking	Ilya Grigorik		中会議場	2F		Ruby is often described as a DSL for web services and the popularity of frameworks such as Rails and Merb is a clear sign of success of the language. However, there is also the ongoing concern of scalability and performance of Ruby based web applications. In this talk we will investigate the challenges and dispel the myths around the Ruby networking stack: working with Ruby sockets, synchronous & async polling techniques, reactor loop pattern (EventMachine), and working with epoll, kqueue, and others.	Ilya Grigorik is the founder and chief Ruby wrangler at PostRank - a real-time social engagement monitoring and analytics platform. He likes to play in the clouds, explore the dark corners of Ruby, and is often found researching and evangelizing the latest web practices, software architecture, and web standards in general.
18M05	2010-08-28	16:00 - 18:30	NeverBlock and I/O Concurrency in Ruby	Mohammad A. Ali and Ehab El-Badry (eSpace)		中会議場	2F		Several web application back ends offer a lot of scalability but tax you with high latencies. This can be observed in most cloud based back ends, specially when the application is deployed off the cloud's network. In this presentation we introduce NeverBlock, a library that utilizes light weight concurrency primitives (Fibers) to enable concurrent I/O operations in a seamless manner. We examine the performance and the resource utilization characteristics of various types of application before and after they use NeverBlock.	Mohammad is a co-founder and CTO of eSpace, an Egyptian software firm that offers its services mainly in Ruby. He has been working on Ruby since 2005 and managed to move all his colleagues and coworkers to the new platform. Mohammad researches software concurrency models in the academia and hence is interested in the application of those models in Ruby.
18M06	2010-08-28	16:00 - 18:30	JRuby Update 2009	Thomas Enebo, Nick Sieger (Sun Microsystems)		中会議場	2F		JRuby, the implementation of Ruby atop the JVM, has become a dependable alternative for deploying production Ruby applications. We'll give an update on the state of JRuby, the latest developments in the community, and highlight some new and interesting ways that people are using JRuby in the world today.	Thomas Enebo has been working with Java since 1997 and co-leading the JRuby project since 2003. Enebo is working to make JRuby a piece of software that will capture the hearts and minds of Ruby and Java developers everywhere. His goal is to make JRuby the best possible JVM implementation of the Ruby language and to make the JVM the best possible host for all languages. Nick Sieger is the lead engineer behind Project Kenai, [[http://kenai.com/]] , Sun's cloud collaboration service for developers deployed with JRuby on Rails. He created and co-maintains the JDBC adapter for ActiveRecord that JRuby on Rails uses for database connectivity and several other projects to improve the JRuby on Rails experience. He maintains a blog on Ruby and JRuby-related topics at [[http://blog.nicksieger.com/.]]
18S04	2010-08-28	16:00 - 18:30	分散並列処理フレームワークfairyと分散オブジェクトシステムDeepConnect	石塚 圭樹、増田 創		特別会議室	1F		オープンソース化がまもなくの分散並列処理フレームワークfairyの現状とその基盤となっている分散オブジェクトシステムDeepConnectについて紹介します。	石塚圭樹: Rubyの名付け親でもあり、まつもとさんがRubyの開発を始めるきっかけをつくった人。Irbの作者。現在、自身の研究所をもつ。楽天技術研究所 客員研究員でもある。 増田創: 楽天株式会社 楽天技術研究所。2006年～楽天でのRuby導入Prj.に関わり、現在楽天技術研究所で石塚さんと分散処理フレームワーク「fairy」を開発している
18S05	2010-08-28	16:00 - 18:30	偉大なBigTableとぼくのおもちゃ	関 将俊		特別会議室	1F		RindaはRubyにおけるLindaの実装である。Rindaを特徴づけるタプル、タプルスペース、分散処理、Key-Value Storageといったキーワードは、MapReduceを連想させることが多い。もちろん私もその一人である。しかし、そこには大きな罠があった。Rindaを出発点にMapReduce向けのデータ構造を用意し、小さなアプリケーションを運用した経験の中で得られたなにかを紹介する。	プログラマ。dRuby、ERBの作者。最近の著作は「dRuby and Rinda: Implementation and Application of Distributed Ruby and its Parallel Coordination Mechanism」 。キレートレモンを毎朝飲む。
18S06	2010-08-28	16:00 - 18:30	concov: 時系列に注目したテストカバレッジビューア	遠藤 侑介 (理論科学グループ)		特別会議室	1F		テストカバレッジはプログラムがどの程度テストされているかをあらわす指標である。テストを書けばテストカバレッジは一時的に上がるが、テストをメンテナンスしなければカバレッジは徐々に劣化する傾向がある。しかし、テストカバレッジが下がった箇所を手動で探すのは、煩雑でコストの高い作業である。本発表では、継続的インテグレーションによって定期的にカバレッジを測定し、その変化を可視化するツール concov を紹介する。concov を用いることで、テストカバレッジが低下した箇所の同定が簡単になり、また、開発者のテストに対する意識を向上させる効果も期待できる。	Ruby のコミッタ権を持つ。Ruby の「テストメンテナ」を自称している。
18S07	2010-08-28	16:00 - 18:30	RubyのGC改善による私のエコライフ ～レジ袋は結構ですよ(2009夏)～	nari(ネットワーク応用通信研究所)		特別会議室	1F		CRubyのGC改善について，その手法と結果を報告します．また，現在のCRubyのGCアルゴリズムについても簡単に紹介します．	アイス工場勤務を経て，なぜか今はRubyGCをいじる人に．福岡出身，松江在住．NaCl勤務．
	2010-08-28	18:30 - 20:30	Beer bust	(Bring your own food/drink)		中会議場	2F			
	2010-08-29	09:10 - 09:30	開場・受付		true					
19H01	2010-08-29	09:30 - 12:00	Edo Cabinet	メトロー ジョン		一橋記念講堂	2F		RubyからTokyo CabinetとTyrantへFFI経由します。Tokyo CabinetとTyrantはミクシィの平林さんが作ったkey/valueデータベースです。速いだけではありません。[J]Rubyでの色々な使い方の説明をします。	少ないコードで書こうと努力する奴
